## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics  --INPUT 045F16.recal.bam --OUTPUT collect_wgs_metrics/045F16-recal.txt --REFERENCE_SEQUENCE hg19/ucsc.hg19.fasta  --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 07 04:24:54 CDT 2019

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2897310462	31.29276	10.35411	32	4	0.04967	0.203084	0.000367	0.014954	0.068078	0.010451	0.346604	0.970477	0.966438	0.962961	0.958266	0.941832	0.858779	0.634213	0.125145	0.010166	0.003445	0.002528	0.001974	0.001599	0.001319	0.967481	15

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	85538016
1	4264826
2	2885623
3	2400057
4	2152010
5	2042103
6	1976022
7	1973642
8	2001084
9	2079244
10	2184221
11	2343813
12	2583487
13	2953977
14	3536798
15	4468459
16	5965149
17	8305179
18	11860799
19	17015393
20	24176652
21	33681515
22	45698556
23	60216517
24	76858104
25	95010410
26	113750946
27	131853716
28	148244967
29	161777300
30	171366720
31	176444960
32	176865152
33	172711834
34	164457786
35	152816668
36	138768214
37	123207515
38	107104786
39	91183697
40	76173427
41	62481842
42	50327401
43	39888786
44	31104018
45	23902558
46	18141176
47	13598540
48	10087947
49	7424007
50	5412088
51	3939241
52	2865513
53	2084151
54	1531705
55	1137206
56	861862
57	667968
58	533133
59	441830
60	377931
61	333737
62	301168
63	278077
64	258951
65	243396
66	231292
67	220459
68	210652
69	201285
70	192984
71	184563
72	176716
73	169319
74	163296
75	155864
76	149184
77	143091
78	137597
79	131681
80	126375
81	121070
82	117132
83	112688
84	108985
85	104856
86	103632
87	100127
88	97225
89	95230
90	92743
91	89942
92	87650
93	84503
94	81850
95	79559
96	76417
97	74778
98	71956
99	69471
100	66768
101	64868
102	62299
103	60312
104	58264
105	56049
106	53815
107	52099
108	50842
109	49238
110	47758
111	46147
112	45314
113	43773
114	43004
115	41941
116	41351
117	41061
118	40549
119	39758
120	39399
121	38935
122	38075
123	37329
124	37337
125	36638
126	36248
127	35532
128	35355
129	34772
130	34162
131	33829
132	33430
133	32681
134	32614
135	32157
136	30957
137	30659
138	29856
139	29509
140	28966
141	28684
142	28206
143	27604
144	27159
145	26954
146	26384
147	26068
148	25240
149	24800
150	24532
151	23932
152	23748
153	23550
154	23071
155	22784
156	22698
157	22145
158	21961
159	21578
160	21172
161	20804
162	20574
163	20123
164	19629
165	19541
166	19255
167	18722
168	17876
169	17448
170	16946
171	16348
172	16002
173	15699
174	15157
175	14926
176	14432
177	14244
178	13645
179	13388
180	12874
181	12686
182	12148
183	12016
184	11457
185	11266
186	11098
187	10871
188	10690
189	10389
190	10381
191	10104
192	10145
193	9658
194	9684
195	9359
196	9148
197	8945
198	8837
199	8682
200	8686
201	8335
202	8315
203	8276
204	8109
205	7985
206	7885
207	7725
208	7658
209	7525
210	7457
211	7082
212	7171
213	6871
214	6718
215	6931
216	6597
217	6453
218	6262
219	6129
220	6037
221	5992
222	5711
223	5784
224	5606
225	5625
226	5375
227	5166
228	5057
229	5027
230	4897
231	4716
232	4707
233	4705
234	4609
235	4392
236	4525
237	4408
238	4394
239	4467
240	4233
241	4157
242	4182
243	4160
244	4120
245	4159
246	4112
247	4001
248	3938
249	3874
250	781291

