## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics  --INPUT 045F14.recal.bam --OUTPUT collect_wgs_metrics/045F14-recal.txt --REFERENCE_SEQUENCE hg19/ucsc.hg19.fasta  --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 06 19:11:04 CDT 2019

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2897310462	37.708007	11.94424	38	5	0.0494	0.23732	0.000397	0.014519	0.056349	0.009989	0.367973	0.970922	0.96707	0.964059	0.960774	0.955755	0.939693	0.872017	0.434736	0.07738	0.009352	0.00366	0.002742	0.002195	0.001804	0.968082	15

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	84247995
1	4227331
2	2731961
3	2227495
4	1972897
5	1836159
6	1748211
7	1709957
8	1710294
9	1721190
10	1748027
11	1805396
12	1878872
13	1977607
14	2105509
15	2270624
16	2480593
17	2768227
18	3191189
19	3832327
20	4795899
21	6241633
22	8386004
23	11445792
24	15665852
25	21282619
26	28512652
27	37491039
28	48210030
29	60583350
30	74215288
31	88617740
32	103162717
33	117212315
34	129989522
35	140671061
36	148808449
37	153924868
38	155829678
39	154505827
40	150116299
41	143036227
42	133789961
43	122858327
44	110902882
45	98505877
46	86122993
47	74188529
48	63011623
49	52840301
50	43767121
51	35815245
52	28989275
53	23253441
54	18462252
55	14546008
56	11367515
57	8823828
58	6820581
59	5252027
60	4029003
61	3092647
62	2375418
63	1832336
64	1420414
65	1109065
66	877382
67	705389
68	574716
69	476102
70	404161
71	348779
72	308264
73	277302
74	254582
75	236094
76	222950
77	211517
78	202757
79	193575
80	185895
81	178958
82	172376
83	166438
84	159948
85	154480
86	149027
87	144093
88	139475
89	134527
90	129601
91	125510
92	122326
93	117600
94	113856
95	110262
96	106692
97	104315
98	101660
99	99148
100	96177
101	93810
102	91048
103	88802
104	86523
105	83876
106	83172
107	81087
108	78080
109	76025
110	73220
111	71405
112	68574
113	67426
114	64681
115	62095
116	60673
117	58491
118	57476
119	55534
120	54037
121	51934
122	50513
123	49106
124	47266
125	46050
126	44443
127	43190
128	42101
129	40733
130	40057
131	39161
132	38290
133	37277
134	36269
135	35423
136	34586
137	34167
138	33869
139	33273
140	32689
141	32112
142	31887
143	31662
144	31175
145	31163
146	30641
147	30247
148	29807
149	29660
150	29922
151	29253
152	28806
153	28868
154	28553
155	28355
156	27956
157	27656
158	27676
159	27318
160	26675
161	26467
162	25945
163	25926
164	25136
165	25286
166	24391
167	24338
168	24113
169	23324
170	22928
171	22482
172	21980
173	21755
174	21411
175	20964
176	20935
177	20333
178	20296
179	20284
180	20014
181	19676
182	19379
183	19348
184	19313
185	18800
186	19058
187	18860
188	18567
189	18672
190	18253
191	17907
192	17518
193	17704
194	17398
195	17073
196	16880
197	16705
198	16393
199	16303
200	16085
201	15734
202	15389
203	15189
204	14667
205	14184
206	13935
207	13824
208	13331
209	13053
210	12795
211	12635
212	12000
213	11969
214	11649
215	11526
216	11188
217	10901
218	10744
219	10386
220	10195
221	10010
222	9887
223	9703
224	9228
225	8870
226	8667
227	8469
228	8356
229	8082
230	7904
231	7728
232	7569
233	7582
234	7414
235	7277
236	7218
237	7202
238	7230
239	6911
240	6933
241	6929
242	6629
243	6582
244	6548
245	6402
246	6212
247	6115
248	6290
249	6156
250	981716

