## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics  --INPUT 043F14.recal.bam --OUTPUT collect_wgs_metrics/043F14-recal.txt --REFERENCE_SEQUENCE hg19/ucsc.hg19.fasta  --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 06 09:36:15 CDT 2019

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2897310462	35.023386	11.109739	36	5	0.049218	0.203497	0.000433	0.015428	0.083806	0.009309	0.361691	0.970341	0.966632	0.96367	0.960216	0.953844	0.926588	0.814613	0.283622	0.026463	0.004646	0.003271	0.002521	0.002043	0.00173	0.967503	15

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	85932495
1	4032072
2	2639986
3	2164072
4	1908185
5	1778222
6	1705328
7	1683894
8	1694147
9	1720436
10	1774728
11	1863340
12	1966226
13	2106117
14	2296244
15	2536219
16	2882939
17	3407002
18	4199166
19	5438595
20	7321894
21	10136936
22	14213131
23	19871693
24	27425338
25	37124440
26	49083718
27	63165016
28	79016288
29	96035927
30	113430053
31	130193323
32	145313092
33	157795394
34	166780556
35	171742214
36	172374538
37	168806481
38	161354522
39	150655370
40	137474095
41	122686672
42	107162207
43	91679839
44	76810952
45	63095867
46	50840560
47	40220730
48	31247434
49	23850861
50	17926558
51	13281270
52	9717981
53	7022565
54	5030141
55	3580931
56	2549074
57	1819476
58	1313604
59	970145
60	735847
61	578024
62	471668
63	402156
64	354528
65	322495
66	300143
67	283822
68	272391
69	262607
70	253394
71	245981
72	237807
73	229536
74	222389
75	213470
76	204617
77	197204
78	188591
79	180101
80	171705
81	163271
82	154945
83	147775
84	139841
85	132231
86	127087
87	121237
88	115369
89	110761
90	105231
91	101583
92	98066
93	94048
94	90995
95	87702
96	85689
97	82905
98	81269
99	78829
100	77277
101	75356
102	73400
103	71910
104	70565
105	68893
106	67898
107	67084
108	65395
109	64321
110	62047
111	61392
112	60748
113	59904
114	59022
115	58395
116	58128
117	57180
118	56598
119	56723
120	55909
121	55198
122	54957
123	54054
124	53465
125	52887
126	52467
127	51407
128	51237
129	50734
130	50382
131	49642
132	49207
133	48092
134	47311
135	47298
136	46530
137	45819
138	45432
139	44121
140	42992
141	42368
142	41286
143	39872
144	39253
145	37795
146	36766
147	35509
148	34812
149	33775
150	33019
151	32187
152	31338
153	30258
154	29346
155	28563
156	27914
157	26914
158	26503
159	25625
160	25186
161	24687
162	24035
163	23656
164	23007
165	22463
166	22252
167	21844
168	21848
169	21436
170	21001
171	20971
172	20844
173	20783
174	20670
175	20399
176	20337
177	19903
178	20124
179	19927
180	19605
181	19282
182	18989
183	18666
184	18405
185	18266
186	18162
187	17736
188	17568
189	17077
190	17091
191	16575
192	16294
193	16040
194	15711
195	15202
196	15014
197	14720
198	14340
199	14226
200	13940
201	13313
202	13255
203	12780
204	12161
205	11919
206	11679
207	11402
208	11155
209	11146
210	10677
211	10189
212	9861
213	9835
214	9414
215	9225
216	8868
217	8685
218	8612
219	8385
220	8162
221	7877
222	7529
223	7523
224	7260
225	7102
226	6888
227	6912
228	6765
229	6625
230	6466
231	6313
232	6366
233	6099
234	6055
235	5917
236	5896
237	5767
238	5696
239	5568
240	5450
241	5377
242	5083
243	5118
244	5219
245	5068
246	5053
247	4812
248	4748
249	4637
250	864179

